Mahsooli ID,Date,NDVI value,Baseline value,Deviation %,Alert flag,Window
M001,2026-06-11,0.1023,0.1591,-35.7,No,2026-06-01 to 2026-06-11
M002,2026-06-11,0.1150,0.1158,-0.7,No,2026-06-01 to 2026-06-11
M003,2026-06-11,0.1253,0.1360,-7.9,No,2026-06-01 to 2026-06-11
M004,2026-06-11,0.0967,0.1100,-12.1,No,2026-06-01 to 2026-06-11
M005,2026-06-11,0.1128,0.0968,16.6,No,2026-06-01 to 2026-06-11
M006,2026-06-11,0.1388,0.1334,4.0,No,2026-06-01 to 2026-06-11
M007,2026-06-11,0.0566,0.0811,-30.2,No,2026-06-01 to 2026-06-11
M008,2026-06-11,0.1378,0.1033,33.4,No,2026-06-01 to 2026-06-11
M009,2026-06-11,0.0969,0.1350,-28.2,No,2026-06-01 to 2026-06-11
M010,2026-06-11,,0.1233,,No coverage,2026-06-01 to 2026-06-11
